M,K,N,latency_ms,cycles,latency_per_cycle
128,128,136,0.27409504999695855,390,0.000702807820505022
128,128,144,0.26696994999895196,398,0.0006707787688415879
128,128,152,0.27847285001314503,406,0.0006858937192441996
128,128,160,0.26920275000748006,414,0.0006502481884238649
128,128,168,0.28816544999870075,422,0.0006828565165845989
128,128,176,0.2889737999907993,430,0.0006720320930018589
128,128,184,0.2749088000030042,438,0.0006276456621073156
128,128,192,0.26938100000393206,446,0.0006039932735514171
128,128,200,0.27345939999179336,454,0.0006023334801581352
128,128,208,0.28518229999292544,462,0.0006172777056123927
128,128,216,0.27872144999321335,470,0.000593024361687688
128,128,224,0.29664409999554664,478,0.0006205943514551185
128,128,232,0.29228745000011713,486,0.0006014145061730805
128,128,240,0.29631370000515744,494,0.0005998253036541649
128,128,248,0.2787124999997559,502,0.000555204183266446
128,128,256,0.2750418500028218,510,0.0005392977451035722
128,128,264,0.2822323499998447,518,0.0005448500965247968
128,128,272,0.28090965000160395,526,0.0005340487642616045
128,128,280,0.2755156499944178,534,0.000515946910101906
128,128,288,0.27181984999629094,542,0.0005015126383695405
128,128,296,0.28203155001165214,550,0.0005127846363848221
128,128,304,0.27832234999891625,558,0.0004987855734747603
128,128,312,0.2797529000048371,566,0.0004942630742134931
128,128,320,0.27901500000382384,574,0.00048608885018087776
128,128,328,0.2772281000005705,582,0.0004763369415817363
128,128,336,0.2751916999926607,590,0.00046642661015705204
128,128,344,0.2767281999979332,598,0.0004627561872875137
128,128,352,0.3116141499958758,606,0.0005142147689700921
128,128,360,0.27562509999654594,614,0.00044890081432662205
128,128,368,0.28848405000019284,622,0.00046380072347297884
128,128,376,0.27694569999709984,630,0.00043959634920174575
128,128,384,0.28085109999551605,638,0.0004402054858863888
128,128,392,0.27484364999850186,646,0.0004254545665611484
128,128,400,0.2756707000031611,654,0.0004215148318091148
128,128,408,0.28433474999758346,662,0.0004295086857969539
128,128,416,0.27527364999002657,670,0.00041085619401496503
128,128,424,0.2782419000027403,678,0.00041038628318988246
128,128,432,0.28729595000527297,686,0.00041879876094063115
128,128,440,0.27922219998970377,694,0.0004023374639621092
128,128,448,0.28183605000720036,702,0.0004014758547111116
128,128,456,0.28467169999828457,710,0.00040094605633561207
128,128,464,0.2797765000025265,718,0.0003896608635132681
128,128,472,0.2785922000015262,726,0.00038373581267427847
128,128,480,0.286550349997583,734,0.00039039557220379154
128,128,488,0.2908722000029229,742,0.00039201105121687725
128,128,496,0.31115045000262853,750,0.0004148672666701714
128,128,504,0.2904570499936199,758,0.0003831887203082056
128,128,512,0.2953732499946682,766,0.00038560476500609423
128,128,520,0.28272065000862767,774,0.0003652721576338859
128,128,528,0.2741813500023227,782,0.0003506155370873692
128,128,536,0.29242960000317453,790,0.0003701640506369298
128,128,544,0.28180255000052057,798,0.00035313602756957465
128,128,552,0.28799755000079585,806,0.00035731705955433727
128,128,560,0.276934649997429,814,0.00034021455773639925
128,128,568,0.3010618000018894,822,0.0003662552311458509
128,128,576,0.2841500499982885,830,0.00034234945782926325
128,128,584,0.29201665000471166,838,0.00034846855609154136
128,128,592,0.28791295000587525,846,0.0003403226359407509
128,128,600,0.28416520000007495,854,0.0003327461358314695
128,128,608,0.2870537999882572,862,0.0003330090487102752
128,128,616,0.28667274999634174,870,0.0003295089080417721
128,128,624,0.2907726999978877,878,0.0003311761958973664
128,128,632,0.28370474999235284,886,0.00032020852143606413
128,128,640,0.2913821999953825,894,0.0003259308724780565
128,128,648,0.29513190000045597,902,0.00032719722838188024
128,128,656,0.2915151499990998,910,0.0003203463186803294
128,128,664,0.29622804999576147,918,0.0003226885076206552
128,128,672,0.2935282999942501,926,0.00031698520517737595
128,128,680,0.2918406000020468,934,0.00031246316916707365
128,128,688,0.2885735499887687,942,0.0003063413481834063
128,128,696,0.2995437499976106,950,0.0003153092105238006
128,128,704,0.2907236999988072,958,0.0003034694154476067
128,128,712,0.2877059999974563,966,0.0002978322981340127
128,128,720,0.2965361000036637,974,0.00030445184805304285
