bucket_N,flops,latency_ms,latency_std,tflops
128,4194304,0.2692585099930511,0.008209985281434394,0.015577238394835671
256,8388608,0.2728061399784565,0.014348159024995243,0.03074933724241855
512,16777216,0.2765784399844051,0.014127521504698039,0.060659883687774016
1024,33554432,0.29480114000307367,0.01610941835155414,0.11382056392200571
