M,K,N,latency_ms,num_tiles_M,num_tiles_K,num_tiles_N,total_tiles
144,128,512,0.2993978500057892,2,1,4,8
148,128,512,0.30799250001791734,2,1,4,8
152,128,512,0.32855714998731855,2,1,4,8
156,128,512,0.3234419999898819,2,1,4,8
160,128,512,0.3109336499960591,2,1,4,8
164,128,512,0.31414425000093615,2,1,4,8
168,128,512,0.3251741500207572,2,1,4,8
172,128,512,0.3253700499953993,2,1,4,8
176,128,512,0.29941544999019243,2,1,4,8
180,128,512,0.31424220001099457,2,1,4,8
184,128,512,0.313653300020178,2,1,4,8
188,128,512,0.3089134500100954,2,1,4,8
192,128,512,0.3222108499926435,2,1,4,8
196,128,512,0.32729414999721484,2,1,4,8
200,128,512,0.31848515003503053,2,1,4,8
204,128,512,0.33135095003444803,2,1,4,8
208,128,512,0.319068699991476,2,1,4,8
212,128,512,0.32014785001592827,2,1,4,8
216,128,512,0.32414949997701115,2,1,4,8
220,128,512,0.3257641499772035,2,1,4,8
224,128,512,0.31874609999249515,2,1,4,8
228,128,512,0.3278336000221316,2,1,4,8
232,128,512,0.3351916999804416,2,1,4,8
236,128,512,0.3326104500160909,2,1,4,8
240,128,512,0.32554355001366275,2,1,4,8
244,128,512,0.330022450020806,2,1,4,8
248,128,512,0.3235649500084037,2,1,4,8
252,128,512,0.3301262499917357,2,1,4,8
256,128,512,0.3265196999791442,2,1,4,8
260,128,512,0.3244665500233168,3,1,4,12
264,128,512,0.3388945999745374,3,1,4,12
268,128,512,0.33571730001540345,3,1,4,12
272,128,512,0.333778700030507,3,1,4,12
276,128,512,0.3279463500007296,3,1,4,12
280,128,512,0.33486424996453934,3,1,4,12
284,128,512,0.32078780002393614,3,1,4,12
288,128,512,0.3133277999836537,3,1,4,12
292,128,512,0.3345034500057409,3,1,4,12
296,128,512,0.3315895500008992,3,1,4,12
300,128,512,0.32383494998384776,3,1,4,12
304,128,512,0.33626584994408404,3,1,4,12
308,128,512,0.33204404998059545,3,1,4,12
312,128,512,0.32808375001422974,3,1,4,12
316,128,512,0.33654645002343386,3,1,4,12
320,128,512,0.3347256500092044,3,1,4,12
324,128,512,0.33562119998578055,3,1,4,12
328,128,512,0.34055555000804816,3,1,4,12
332,128,512,0.34357429998408406,3,1,4,12
336,128,512,0.3878552500168553,3,1,4,12
340,128,512,0.34048424996626636,3,1,4,12
344,128,512,0.33105489998206394,3,1,4,12
348,128,512,0.343909900016115,3,1,4,12
352,128,512,0.3312367499916036,3,1,4,12
356,128,512,0.3766718999713703,3,1,4,12
360,128,512,0.3417516499780504,3,1,4,12
364,128,512,0.34202890000187836,3,1,4,12
368,128,512,0.32595014998832994,3,1,4,12
372,128,512,0.3505017000179578,3,1,4,12
376,128,512,0.3374013499865214,3,1,4,12
380,128,512,0.35264494994180495,3,1,4,12
384,128,512,0.32757215001311124,3,1,4,12
388,128,512,0.35116279999556355,4,1,4,16
392,128,512,0.3443813499757198,4,1,4,16
396,128,512,0.34762115001285565,4,1,4,16
400,128,512,0.3353371500338653,4,1,4,16
404,128,512,0.3494502000421562,4,1,4,16
408,128,512,0.34857249996775863,4,1,4,16
412,128,512,0.34675655000455663,4,1,4,16
416,128,512,0.33287664999761546,4,1,4,16
420,128,512,0.34775450001234276,4,1,4,16
424,128,512,0.34125524999808476,4,1,4,16
428,128,512,0.3522293999822068,4,1,4,16
432,128,512,0.3370199500068338,4,1,4,16
436,128,512,0.3519174499501787,4,1,4,16
440,128,512,0.3520968500197341,4,1,4,16
444,128,512,0.3484744999695977,4,1,4,16
448,128,512,0.3447154000014052,4,1,4,16
452,128,512,0.3733578000037596,4,1,4,16
456,128,512,0.35426409999672615,4,1,4,16
460,128,512,0.33591875001093285,4,1,4,16
464,128,512,0.3391874999920219,4,1,4,16
468,128,512,0.35369895000485485,4,1,4,16
472,128,512,0.3599069499500729,4,1,4,16
476,128,512,0.35452790000363166,4,1,4,16
480,128,512,0.3429922499890381,4,1,4,16
484,128,512,0.3531900000098176,4,1,4,16
488,128,512,0.35210185000096317,4,1,4,16
492,128,512,0.35874479998483366,4,1,4,16
496,128,512,0.343873449946841,4,1,4,16
500,128,512,0.3481867000004968,4,1,4,16
504,128,512,0.37154180000698034,4,1,4,16
508,128,512,0.3612095000107729,4,1,4,16
512,128,512,0.3373179000050186,4,1,4,16
