M,K,N,latency_ms,num_tiles_M,num_tiles_K,num_tiles_N,total_tiles
128,128,1024,0.32634110011713346,1,1,8,8
128,128,1056,0.331750100122008,1,1,9,9
128,128,1088,0.3317621999485709,1,1,9,9
128,128,1120,0.3381234000698896,1,1,9,9
128,128,1152,0.3333201999339508,1,1,9,9
128,128,1184,0.35908659983761027,1,1,10,10
128,128,1216,0.342768199971033,1,1,10,10
128,128,1248,0.34114319996660925,1,1,10,10
128,128,1280,0.3439535998950305,1,1,10,10
128,128,1312,0.3474274999462068,1,1,11,11
128,128,1344,0.32553289993302315,1,1,11,11
128,128,1376,0.3270880000854959,1,1,11,11
128,128,1408,0.34247730027345824,1,1,11,11
128,128,1440,0.3434201998061326,1,1,12,12
128,128,1472,0.3407063998565718,1,1,12,12
128,128,1504,0.3452857002230303,1,1,12,12
128,128,1536,0.3276229002040054,1,1,12,12
128,128,1568,0.34478640009183437,1,1,13,13
128,128,1600,0.35995080006614444,1,1,13,13
128,128,1632,0.35382140004003304,1,1,13,13
128,128,1664,0.35758859985435265,1,1,13,13
128,128,1696,0.35790879983323975,1,1,14,14
128,128,1728,0.35410689997661393,1,1,14,14
128,128,1760,0.35190739999961806,1,1,14,14
128,128,1792,0.3556296000169823,1,1,14,14
128,128,1824,0.36402479991011205,1,1,15,15
128,128,1856,0.34782830016411026,1,1,15,15
128,128,1888,0.36290389998612227,1,1,15,15
128,128,1920,0.35848089992214227,1,1,15,15
128,128,1952,0.3600416999688605,1,1,16,16
128,128,1984,0.36511179996523424,1,1,16,16
128,128,2016,0.3603287999794702,1,1,16,16
128,128,2048,0.37786419998155907,1,1,16,16
