M,K,N,latency_ms,num_tiles_M,num_tiles_K,num_tiles_N,total_tiles
129,128,128,0.2904400999796053,2,1,1,2
129,128,160,0.29085429978294997,2,1,2,4
129,128,192,0.2933323001343524,2,1,2,4
129,128,224,0.29836640005669324,2,1,2,4
129,128,256,0.29946869999548653,2,1,2,4
129,128,288,0.3015885999047896,2,1,3,6
129,128,320,0.2956871002425032,2,1,3,6
129,128,352,0.2897531001508469,2,1,3,6
129,128,384,0.29656530014108284,2,1,3,6
129,128,416,0.31101769982342375,2,1,4,8
129,128,448,0.31308569996326696,2,1,4,8
129,128,480,0.3521424000609841,2,1,4,8
129,128,512,0.31651670005885535,2,1,4,8
129,128,544,0.3296449000117718,2,1,5,10
129,128,576,0.31544480016236776,2,1,5,10
129,128,608,0.31661890006944304,2,1,5,10
129,128,640,0.3119806000540848,2,1,5,10
129,128,672,0.32626719985273667,2,1,6,12
129,128,704,0.31894769990685745,2,1,6,12
129,128,736,0.3561707999324426,2,1,6,12
129,128,768,0.3222747999643616,2,1,6,12
129,128,800,0.33189220011990983,2,1,7,14
129,128,832,0.3328861001136829,2,1,7,14
129,128,864,0.31990690013117273,2,1,7,14
129,128,896,0.3157347000524169,2,1,7,14
129,128,928,0.32968720006465446,2,1,8,16
129,128,960,0.344367499837972,2,1,8,16
129,128,992,0.3382092999345332,2,1,8,16
129,128,1024,0.34250020016770577,2,1,8,16
129,128,1056,0.33131899990621605,2,1,9,18
129,128,1088,0.34020739985862747,2,1,9,18
129,128,1120,0.3367765000803047,2,1,9,18
129,128,1152,0.34878930000559194,2,1,9,18
129,128,1184,0.34300240004085936,2,1,10,20
129,128,1216,0.3430974998991587,2,1,10,20
129,128,1248,0.3392263001842366,2,1,10,20
129,128,1280,0.3476494999631541,2,1,10,20
129,128,1312,0.34182629997303593,2,1,11,22
129,128,1344,0.3392003999579174,2,1,11,22
129,128,1376,0.353469500078063,2,1,11,22
129,128,1408,0.3550233998794283,2,1,11,22
129,128,1440,0.3551674999471288,2,1,12,24
129,128,1472,0.35603049991550506,2,1,12,24
129,128,1504,0.350736499967752,2,1,12,24
129,128,1536,0.35236260009696707,2,1,12,24
129,128,1568,0.35496060008881614,2,1,13,26
129,128,1600,0.34707939985310077,2,1,13,26
129,128,1632,0.3543517999787582,2,1,13,26
129,128,1664,0.3479343999060802,2,1,13,26
129,128,1696,0.3508905999296985,2,1,14,28
129,128,1728,0.368384800003696,2,1,14,28
129,128,1760,0.36392269994394155,2,1,14,28
129,128,1792,0.36248499982320936,2,1,14,28
129,128,1824,0.3624758998739708,2,1,15,30
129,128,1856,0.35377340000195545,2,1,15,30
129,128,1888,0.3985915001067042,2,1,15,30
129,128,1920,0.37026010004410637,2,1,15,30
129,128,1952,0.3767771999264369,2,1,16,32
129,128,1984,0.36380989995450363,2,1,16,32
129,128,2016,0.38166510003065923,2,1,16,32
129,128,2048,0.3746242002307554,2,1,16,32
